file,input,output,ratio,raw_len,fit_len,len_err_pct,max_dev,elapsed_us,tan_max_deg,tan_mean_deg,us_per_wp,n_line,n_arc,n_helix,n_bezier,n_spline,n_rapid,n_stop
130207LZW.NGC,3334,445,7.492135,145.818911,125.829425,-13.71,0.0464,10.966657,180.00,68.72,10.967,260,54,0,117,14,155,0
1_1001.ngc,19879,2052,9.687622,18432.390085,18431.203666,-0.01,0.0499,5.651546,165.99,2.66,5.652,601,523,1,881,46,36,0
2_1001.ngc,608,253,2.403162,1417.946458,1417.768879,-0.01,0.0449,88.514674,1.64,0.08,88.515,144,96,0,13,0,105,0
3_1001.ngc,11391,737,15.455902,7496.415552,7495.620881,-0.01,0.0497,7.589775,177.88,21.68,7.590,408,158,0,143,28,15,0
4_1001.ngc,4095,602,6.802326,7641.872122,7640.727224,-0.01,0.0447,13.064305,50.09,9.08,13.064,431,119,0,15,37,13,0
5_1001.ngc,10150,641,15.834633,8720.592772,8720.064719,-0.01,0.0500,8.684310,152.11,18.69,8.684,295,139,0,174,33,9,0
6_1001.ngc,4288,634,6.763407,8857.918772,8856.722124,-0.01,0.0430,13.871130,82.49,9.82,13.871,426,151,0,20,37,12,0
SER-40.ngc,21892,6379,3.431886,636.057938,631.461505,-0.72,0.0492,5.201786,180.00,78.90,5.202,6067,288,0,11,13,350,0
bto45.ngc,16,1,16.000000,2.830000,2.830000,0.00,0.0000,1906.095124,0.00,0.00,1906.095,1,0,0,0,0,2,0
flower-one-line.ngc,219,31,7.064516,199.101419,199.091036,-0.01,0.0475,113.439854,99.74,33.78,113.440,14,6,0,5,6,6,0
flower.ngc,43997,7365,5.973795,41602.754559,41602.230386,-0.00,0.0500,3.816632,172.75,26.46,3.817,2210,1021,0,3476,658,6,0
luca-long-reverse.ngc,13,13,1.000000,1213.000000,1213.000000,0.00,0.0000,1416.129844,90.00,90.00,1416.130,13,0,0,0,0,2,0
rechteck-10x10-45.ngc,40,40,1.000000,565.685425,565.685425,-0.00,0.0000,580.598500,90.00,90.00,580.598,40,0,0,0,0,0,0
rechteck-10x10.ngc,40,40,1.000000,400.000000,400.000000,0.00,0.0000,629.999975,90.00,90.00,630.000,40,0,0,0,0,0,0
sine_test.ngc,501,18,27.833333,152.357065,152.181329,-0.12,0.0487,41.583375,90.00,5.29,41.583,1,0,0,17,0,2,0
thomam.ngc,276,80,3.450000,1447.271743,1442.447676,-0.33,0.0000,102.636598,34.58,2.61,102.637,7,59,14,0,0,8,0
yy-g61.ngc,40,40,1.000000,565.685425,565.685425,-0.00,0.0000,685.685899,90.00,90.00,685.686,40,0,0,0,0,0,0
yy.ngc,40,40,1.000000,565.685425,565.685425,-0.00,0.0000,500.598324,90.00,90.00,500.598,40,0,0,0,0,0,0
