file,input,output,ratio,raw_len,fit_len,len_err_pct,max_dev,elapsed_us,tan_max_deg,tan_mean_deg,us_per_wp,n_line,n_arc,n_helix,n_bezier,n_spline,n_rapid,n_stop
130207LZW.NGC,3334,747,4.463186,145.818911,127.520060,-12.55,0.0100,16.257058,180.00,41.17,16.257,450,139,0,150,8,155,0
1_1001.ngc,19879,3179,6.253224,18432.390085,18431.610919,-0.00,0.0100,7.363951,172.93,2.96,7.364,725,113,0,2277,64,36,0
2_1001.ngc,608,321,1.894081,1417.946458,1414.300705,-0.26,0.0096,65.115643,22.51,6.47,65.116,278,21,0,22,0,105,0
3_1001.ngc,11391,1034,11.016441,7496.415552,7496.210617,-0.00,0.0100,7.687651,179.84,15.41,7.688,386,142,0,467,39,15,0
4_1001.ngc,4095,834,4.910072,7641.872122,7641.490255,-0.00,0.0100,11.934033,53.83,10.62,11.934,544,30,0,158,102,13,0
5_1001.ngc,10150,928,10.937500,8720.592772,8720.533501,-0.00,0.0100,7.188547,150.40,12.75,7.189,272,128,0,480,48,9,0
6_1001.ngc,4288,785,5.462420,8857.918772,8857.583360,-0.00,0.0100,9.633132,67.98,10.18,9.633,485,41,0,145,114,12,0
SER-40.ngc,21892,7822,2.798773,636.057938,635.487377,-0.09,0.0100,5.704737,180.00,65.30,5.705,7103,660,0,41,18,350,0
bto45.ngc,16,1,16.000000,2.830000,2.830000,0.00,0.0000,1443.587815,0.00,0.00,1443.588,1,0,0,0,0,2,0
flower-one-line.ngc,219,72,3.041667,199.101419,199.267337,0.08,0.0097,137.965886,90.00,15.37,137.966,15,3,0,51,3,6,0
flower.ngc,43997,14660,3.001160,41602.754559,41623.547312,0.05,0.0100,3.084429,175.75,15.20,3.084,2292,386,0,11316,666,6,0
luca-long-reverse.ngc,13,13,1.000000,1213.000000,1213.000000,0.00,0.0000,1801.973227,90.00,90.00,1801.973,13,0,0,0,0,2,0
rechteck-10x10-45.ngc,40,40,1.000000,565.685425,565.685425,-0.00,0.0000,597.694250,90.00,90.00,597.694,40,0,0,0,0,0,0
rechteck-10x10.ngc,40,40,1.000000,400.000000,400.000000,0.00,0.0000,510.244926,90.00,90.00,510.245,40,0,0,0,0,0,0
sine_test.ngc,501,42,11.928571,152.357065,152.371260,0.01,0.0096,57.619699,90.00,2.20,57.620,1,0,0,41,0,2,0
thomam.ngc,276,250,1.104000,1447.271743,1446.739166,-0.04,0.0100,84.299620,17.75,1.92,84.300,4,8,0,237,1,8,0
yy-g61.ngc,40,40,1.000000,565.685425,565.685425,-0.00,0.0000,624.804075,90.00,90.00,624.804,40,0,0,0,0,0,0
yy.ngc,40,40,1.000000,565.685425,565.685425,-0.00,0.0000,597.864999,90.00,90.00,597.865,40,0,0,0,0,0,0
